pokemon_names,pokemon_cute,multiple_pokes_in_pic,photo_contrast_level,pokes_size_in_frame,looks_fluffy,original_image_source
Mr. Mime,False,False,High,Large,False,Pixiv
Hariyama,False,False,High,Large,False,Pixiv
Seaking,False,False,Low,Large,True,Twitter
Carvanha,True,False,High,Large,True,Twitter
Marshtomp,False,False,Low,Small,True,Pixiv
Cacturne,False,False,High,Small,True,Pixiv
Primarina,False,False,Low,Large,True,Twitter
Seviper,False,False,Low,Large,False,Pixiv
Latios,False,True,High,Large,False,Pixiv
Gligar,False,False,High,Large,False,Twitter
Sudowoodo,False,False,Low,Small,False,Pixiv
Spheal,False,False,High,Large,True,Twitter
Grovyle,False,True,Low,Small,True,Pixiv
Noibat,False,False,High,Large,True,Pixiv
Solrock,False,False,High,Small,True,Twitter
Purrloin,False,False,High,Large,True,Pixiv
Swellow,False,False,Low,Large,True,Twitter
Elekid,False,True,High,Small,False,Twitter
Moltres,False,True,Low,Large,False,Pixiv
Kricketune,False,False,Low,Small,False,Pixiv
Charmander,True,False,Low,Large,True,Pixiv
Darmanitan,False,True,High,Large,False,Twitter
Nidoqueen,False,True,High,Small,True,Twitter
Lanturn,False,True,High,Large,True,Pixiv
Aipom,False,True,High,Small,False,Pixiv
Oricorio,False,True,High,Small,True,Twitter
Patrat,False,False,Low,Small,True,Twitter
Snorunt,False,False,Low,Large,False,Pixiv
Torracat,False,False,Low,Small,True,Pixiv
Crobat,False,False,Low,Large,False,Twitter
Minior,False,True,High,Large,False,Pixiv
Glalie,False,False,Low,Small,False,Pixiv
Bidoof,False,False,Low,Small,False,Twitter
Druddigon,False,False,Low,Large,False,Twitter
Umbreon,False,True,Low,Small,False,Twitter
Chikorita,False,True,High,Small,True,Pixiv
Ninjask,False,False,Low,Large,False,Pixiv
Mothim,False,False,Low,Small,False,Pixiv
Piloswine,False,True,Low,Large,False,Twitter
Aipom,True,True,High,Large,False,Twitter
Solosis,False,False,Low,Large,False,Twitter
Yanmega,False,False,High,Large,False,Twitter
Mismagius,False,False,High,Small,True,Twitter
Shellos,False,False,Low,Large,False,Pixiv
Sableye,False,False,High,Small,False,Pixiv
Bastiodon,False,False,Low,Large,True,Pixiv
Shellos,False,False,Low,Large,False,Pixiv
Murkrow,False,False,Low,Large,True,Pixiv
Xerneas,False,False,High,Small,False,Pixiv
Charmander,False,False,Low,Large,True,Pixiv
Articuno,False,True,Low,Small,False,Twitter
Giratina,False,False,Low,Small,True,Pixiv
Machoke,False,False,High,Small,False,Pixiv
Makuhita,False,False,Low,Small,False,Pixiv
Goodra,False,True,High,Large,False,Twitter
Necrozma,False,False,Low,Large,False,Pixiv
Caterpie,False,True,High,Large,False,Twitter
Glameow,False,False,Low,Large,True,Twitter
Dratini,False,True,Low,Large,False,Pixiv
Budew,True,False,Low,Large,True,Pixiv
Golurk,False,False,Low,Large,False,Twitter
Rockruff,False,False,High,Large,False,Twitter
Golduck,False,False,High,Small,False,Pixiv
Sylveon,False,False,Low,Large,False,Pixiv
Terrakion,False,False,High,Large,True,Twitter
Kyogre,False,False,Low,Large,True,Pixiv
Chingling,False,False,High,Large,True,Pixiv
Vanilluxe,False,False,Low,Small,False,Pixiv
Diggersby,False,False,Low,Small,True,Twitter
Throh,False,False,High,Large,False,Twitter
Mew,True,False,High,Small,True,Pixiv
Magikarp,False,False,High,Large,False,Pixiv
Ludicolo,False,False,High,Large,False,Twitter
Sceptile,False,False,Low,Small,False,Pixiv
Froakie,False,False,Low,Large,True,Twitter
Electivire,False,True,Low,Large,True,Pixiv
Tauros,False,False,High,Small,True,Pixiv
Vulpix,True,False,Low,Small,False,Pixiv
Whismur,False,True,High,Small,False,Pixiv
Tyrogue,False,True,Low,Small,True,Pixiv
Nidorino,False,False,Low,Small,False,Twitter
Charmeleon,False,False,High,Small,True,Pixiv
Lanturn,False,False,Low,Large,False,Twitter
Graveler,False,False,High,Large,False,Twitter
Zangoose,False,False,Low,Small,False,Pixiv
Beautifly,False,False,Low,Large,True,Pixiv
Starly,True,True,High,Large,True,Twitter
Gliscor,False,False,Low,Large,False,Pixiv
Mandibuzz,False,False,High,Large,True,Pixiv
Incineroar,False,False,Low,Large,True,Pixiv
Gumshoos,False,False,Low,Large,False,Pixiv
Magikarp,False,False,High,Small,True,Twitter
Porygon2,False,False,Low,Small,False,Pixiv
Clefairy,False,False,Low,Small,False,Pixiv
Shelmet,False,False,Low,Large,True,Twitter
Mantyke,False,False,Low,Large,False,Twitter
Liepard,False,False,Low,Large,False,Pixiv
Solrock,False,False,Low,Small,False,Twitter
Charmander,True,False,Low,Large,True,Twitter
Simisage,False,False,Low,Large,False,Twitter
Toxapex,False,False,Low,Large,True,Pixiv
Spinarak,False,True,High,Small,False,Pixiv
Golisopod,False,True,Low,Large,False,Twitter
Lycanroc,False,False,High,Small,False,Pixiv
Croagunk,False,False,Low,Large,True,Pixiv
Ledian,False,False,Low,Small,True,Pixiv
Machamp,False,False,Low,Small,False,Pixiv
Snover,False,False,Low,Large,False,Pixiv
Gothitelle,False,False,High,Small,True,Twitter
Golurk,False,False,Low,Large,False,Pixiv
Torkoal,False,False,Low,Small,False,Pixiv
Cinccino,False,False,High,Small,True,Pixiv
Eevee,False,True,High,Small,True,Pixiv
Regirock,False,False,Low,Large,False,Twitter
Hypno,False,False,High,Large,True,Pixiv
Groudon,False,False,Low,Small,False,Pixiv
Azumarill,False,False,Low,Large,True,Pixiv
Dodrio,False,False,Low,Large,False,Twitter
Simipour,False,True,High,Small,True,Twitter
Jellicent,False,False,Low,Large,False,Pixiv
Quilava,False,False,High,Large,False,Twitter
Wingull,False,False,Low,Large,True,Twitter
Vivillon,False,False,Low,Small,False,Pixiv
Lillipup,False,False,Low,Small,False,Pixiv
Porygon2,False,False,High,Small,True,Twitter
Silvally,False,False,Low,Small,False,Twitter
Cherrim,False,False,High,Small,False,Pixiv
Sawk,False,True,Low,Large,True,Pixiv
Cottonee,False,False,Low,Large,True,Pixiv
Cacnea,False,False,Low,Large,True,Twitter
Cradily,False,False,Low,Large,True,Pixiv
Woobat,False,False,High,Small,False,Twitter
Armaldo,False,False,Low,Small,False,Pixiv
Marowak,False,False,High,Small,False,Pixiv
Mantine,False,False,Low,Small,True,Twitter
Golbat,False,False,Low,Large,False,Twitter
Armaldo,False,False,Low,Small,True,Pixiv
Sandshrew,True,False,High,Small,False,Twitter
Sandygast,False,False,High,Small,False,Twitter
Vikavolt,False,False,Low,Large,False,Pixiv
Omastar,False,False,High,Small,True,Twitter
Hoppip,False,False,Low,Small,False,Pixiv
Probopass,False,True,High,Large,True,Pixiv
Gliscor,False,False,Low,Small,False,Pixiv
Murkrow,False,False,Low,Large,False,Twitter
Victini,False,False,Low,Large,False,Twitter
Sealeo,False,False,Low,Large,True,Pixiv
Pikachu,True,False,High,Small,True,Pixiv
Mewtwo,False,False,Low,Large,False,Twitter
Vanillite,False,False,Low,Large,True,Pixiv
Pidove,True,False,High,Small,True,Pixiv
Vulpix,True,False,Low,Large,False,Twitter
Nidorino,False,False,Low,Large,True,Pixiv
Emolga,True,False,High,Large,True,Pixiv
Honchkrow,False,False,High,Large,False,Pixiv
Plusle,False,True,High,Large,False,Pixiv
Scatterbug,False,False,High,Large,True,Pixiv
Pansear,False,False,High,Small,False,Pixiv
Mareep,False,False,Low,Small,False,Twitter
Exeggutor,False,False,High,Large,False,Pixiv
Kricketune,False,False,Low,Large,False,Twitter
Corphish,False,False,High,Large,False,Pixiv
Luxio,False,False,High,Large,False,Pixiv
Walrein,False,False,Low,Small,False,Twitter
Braixen,False,True,Low,Small,False,Pixiv
Pansage,False,True,Low,Large,True,Twitter
Kecleon,False,False,High,Small,False,Twitter
Cyndaquil,False,False,High,Small,False,Pixiv
Dugtrio,False,False,Low,Small,False,Twitter
Diglett,False,False,Low,Small,True,Pixiv
Caterpie,False,False,Low,Large,False,Pixiv
Torkoal,False,False,High,Large,False,Twitter
Bayleef,False,False,Low,Small,False,Pixiv
Emboar,False,False,Low,Large,False,Twitter
Shiinotic,False,False,High,Small,True,Twitter
Noivern,False,False,High,Small,False,Twitter
Golem,False,False,Low,Large,False,Pixiv
Magnemite,False,False,Low,Small,False,Pixiv
Pidove,False,False,Low,Small,True,Twitter
Zorua,False,False,High,Small,True,Twitter
Volcanion,False,False,Low,Small,False,Pixiv
Gorebyss,False,False,Low,Small,True,Twitter
Tornadus,False,True,Low,Small,False,Pixiv
Gumshoos,False,False,Low,Small,False,Pixiv
Caterpie,False,False,Low,Large,False,Pixiv
Elekid,False,False,Low,Large,False,Pixiv
Pikachu,True,True,Low,Large,False,Pixiv
Uxie,False,False,Low,Large,False,Twitter
Rhydon,False,False,Low,Small,True,Pixiv
Diggersby,False,True,High,Large,True,Pixiv
Pyukumuku,False,False,High,Large,False,Pixiv
Surskit,False,True,High,Small,True,Pixiv
Sentret,False,True,High,Small,True,Pixiv
Seviper,False,False,Low,Small,False,Pixiv
Bulbasaur,True,False,High,Small,True,Pixiv
Ninetales,False,True,Low,Small,True,Pixiv
Dodrio,False,False,Low,Large,False,Twitter
Delibird,False,False,High,Large,True,Twitter
Squirtle,True,True,High,Small,False,Twitter
Scrafty,False,False,Low,Large,False,Pixiv
Cacturne,False,False,High,Large,False,Twitter
Hippowdon,False,True,High,Large,True,Twitter
Venonat,False,False,Low,Large,False,Pixiv
Aggron,False,False,Low,Small,True,Pixiv
Slaking,False,False,Low,Small,True,Twitter
Gabite,False,False,Low,Large,False,Twitter
Slakoth,False,False,High,Small,True,Pixiv
Kabutops,False,False,Low,Small,True,Pixiv
Scraggy,False,True,High,Small,False,Pixiv
Lanturn,False,False,Low,Small,False,Twitter
Jolteon,False,False,Low,Small,True,Pixiv
Stunfisk,False,False,Low,Small,False,Pixiv
Claydol,False,False,Low,Large,False,Twitter
Greninja,False,False,High,Large,True,Pixiv
Silcoon,False,True,High,Small,False,Pixiv
Diglett,False,True,High,Small,False,Pixiv
Sewaddle,False,False,Low,Large,False,Twitter
Salandit,False,False,Low,Small,True,Pixiv
Doduo,False,False,Low,Small,False,Pixiv
Porygon2,False,True,High,Large,False,Twitter
Parasect,False,False,Low,Small,False,Pixiv
Dodrio,False,False,High,Small,True,Twitter
Delibird,False,False,Low,Small,True,Pixiv
Beautifly,False,False,High,Large,False,Twitter
Bulbasaur,True,True,High,Large,True,Pixiv
Audino,False,False,High,Large,False,Pixiv
Blissey,False,False,Low,Large,False,Pixiv
Sentret,False,False,Low,Small,False,Pixiv
Sandile,False,False,High,Small,True,Pixiv
Vaporeon,False,False,Low,Small,True,Twitter
Taillow,False,False,Low,Small,True,Pixiv
Spewpa,False,False,High,Small,True,Pixiv
Honchkrow,False,False,High,Large,True,Pixiv
Vikavolt,False,False,High,Small,True,Pixiv
Snorunt,False,False,Low,Small,False,Pixiv
Regirock,False,False,High,Small,False,Pixiv
Salandit,False,False,Low,Large,False,Twitter
Vespiquen,False,False,High,Small,False,Twitter
Simipour,False,False,Low,Large,True,Pixiv
Marowak,False,False,High,Small,True,Twitter
Krokorok,False,False,High,Small,True,Twitter
Tyrunt,False,False,High,Small,True,Pixiv
Cascoon,False,False,Low,Small,False,Pixiv
Drifblim,False,False,Low,Large,True,Twitter
Tapu Bulu,True,False,Low,Large,True,Pixiv
Mareep,False,True,High,Small,True,Pixiv
Togepi,False,False,Low,Small,False,Pixiv
Elekid,False,False,Low,Small,False,Pixiv
Heatmor,False,False,Low,Small,True,Pixiv
Pidgeot,False,False,High,Small,True,Pixiv
Squirtle,True,False,Low,Small,True,Twitter
Cubone,False,False,Low,Small,False,Pixiv
Shuckle,False,False,Low,Small,False,Pixiv
Machoke,True,True,Low,Large,True,Pixiv
Vespiquen,False,False,High,Small,True,Twitter
Tranquill,False,True,Low,Small,False,Twitter
Pidgey,False,False,Low,Large,False,Twitter
Audino,False,True,Low,Small,False,Pixiv
Deoxys,False,True,High,Large,False,Pixiv
Haunter,False,True,Low,Large,False,Twitter
Whismur,False,False,Low,Large,False,Pixiv
Rufflet,False,False,Low,Large,False,Pixiv
Rufflet,False,False,Low,Small,True,Twitter
Lampent,False,False,High,Small,False,Pixiv
Hakamo-o,False,True,Low,Small,False,Pixiv
Kirlia,False,True,Low,Large,False,Pixiv
Beautifly,False,False,High,Small,False,Pixiv
Tropius,False,False,Low,Small,False,Twitter
Swirlix,False,True,Low,Large,False,Twitter
Simipour,True,False,High,Small,True,Pixiv
Kyogre,False,False,Low,Large,True,Twitter
Staravia,False,False,High,Large,False,Pixiv
Hitmonchan,False,False,Low,Large,False,Pixiv
Vulpix,True,False,Low,Small,False,Twitter
Kyurem,False,True,High,Large,False,Pixiv
Glaceon,False,False,Low,Small,True,Pixiv
Vulpix,True,False,Low,Large,True,Pixiv
Seismitoad,True,False,High,Large,True,Pixiv
Raikou,False,False,High,Small,False,Pixiv
Manaphy,False,False,High,Small,False,Pixiv
Trevenant,False,False,High,Large,True,Pixiv
Zoroark,False,True,Low,Small,False,Pixiv
Omastar,False,False,High,Small,False,Twitter
Hippopotas,False,False,High,Small,False,Twitter
Mantine,False,False,Low,Small,True,Pixiv
Miltank,False,True,High,Large,True,Twitter
Tyrunt,False,False,Low,Small,False,Pixiv
Helioptile,False,True,Low,Small,False,Twitter
Gulpin,False,False,High,Large,False,Twitter
Forretress,False,True,High,Large,False,Pixiv
Bronzor,False,False,Low,Large,False,Pixiv
Cranidos,False,False,High,Large,False,Twitter
Spoink,False,False,Low,Large,True,Twitter
Nuzleaf,False,False,Low,Small,False,Twitter
Vanilluxe,False,False,High,Small,False,Twitter
Hawlucha,True,False,High,Small,True,Pixiv
Seviper,False,False,Low,Large,True,Twitter
Pachirisu,False,False,Low,Small,True,Pixiv
Incineroar,False,False,Low,Small,True,Pixiv
Woobat,False,False,Low,Large,False,Pixiv
Palkia,False,False,Low,Small,True,Pixiv
Roserade,False,False,High,Large,True,Pixiv
Audino,True,True,Low,Small,True,Twitter
Donphan,False,False,Low,Small,True,Pixiv
Finneon,False,True,Low,Large,True,Pixiv
Spritzee,True,False,Low,Large,False,Pixiv
Krokorok,False,False,Low,Large,False,Twitter
Phantump,False,False,High,Small,False,Pixiv
Tyrantrum,False,False,Low,Small,True,Pixiv
Persian,False,False,Low,Small,True,Pixiv
Bisharp,False,False,Low,Small,False,Pixiv
Zekrom,True,True,Low,Large,False,Pixiv
Starmie,False,False,High,Small,False,Pixiv
Charmander,True,False,Low,Large,True,Twitter
Swinub,False,False,Low,Large,False,Twitter
Omanyte,False,False,High,Large,False,Pixiv
Poliwhirl,False,True,High,Small,True,Pixiv
Clauncher,False,True,Low,Small,True,Twitter
Blitzle,False,False,High,Small,True,Pixiv
Woobat,False,False,High,Small,True,Twitter
Mew,True,False,High,Large,False,Twitter
Sentret,False,False,High,Small,True,Pixiv
Staravia,False,False,High,Large,True,Twitter
Electivire,False,False,Low,Large,True,Pixiv
Silcoon,False,False,Low,Small,False,Pixiv
Pikachu,True,False,Low,Large,True,Twitter
Froslass,False,False,Low,Small,False,Pixiv
Drifloon,False,False,Low,Small,True,Pixiv
Nuzleaf,False,False,Low,Large,True,Pixiv
Blaziken,False,False,Low,Small,True,Twitter
Hypno,False,False,Low,Small,False,Pixiv
Ralts,False,False,High,Large,False,Pixiv
Sneasel,False,False,High,Large,True,Pixiv
Surskit,False,False,Low,Large,True,Twitter
Phione,False,True,High,Large,True,Pixiv
Wigglytuff,True,True,Low,Small,False,Twitter
Venonat,False,True,Low,Large,False,Twitter
Latias,False,False,Low,Large,False,Twitter
Pikachu,True,True,High,Large,False,Pixiv
Musharna,False,False,Low,Large,False,Twitter
Wurmple,True,False,High,Small,True,Pixiv
Clefairy,False,False,Low,Small,False,Pixiv
Mothim,False,False,Low,Small,True,Twitter
Mantine,False,True,High,Large,False,Twitter
Latias,False,True,Low,Large,True,Pixiv
Heracross,False,False,Low,Large,False,Pixiv
Lugia,False,True,Low,Large,True,Twitter
Burmy,False,True,High,Large,False,Pixiv
Trevenant,False,False,Low,Small,True,Pixiv
Ralts,False,False,High,Small,True,Pixiv
Swoobat,False,False,Low,Small,True,Twitter
Bulbasaur,True,False,High,Small,True,Twitter
Sharpedo,False,False,Low,Small,True,Twitter
Castform,False,False,High,Small,False,Pixiv
Tranquill,False,False,Low,Small,True,Twitter
Parasect,False,True,High,Large,True,Pixiv
Mew,True,False,Low,Small,False,Pixiv
Mantine,False,True,Low,Small,False,Twitter
Ledyba,False,False,Low,Large,False,Pixiv
Honedge,False,False,High,Large,True,Twitter
Pyukumuku,True,False,Low,Large,True,Twitter
Seadra,False,True,Low,Large,False,Twitter
Omastar,False,False,Low,Large,False,Twitter
Poliwag,False,True,Low,Large,False,Twitter
Machop,False,False,High,Small,False,Pixiv
Rotom,False,False,High,Large,False,Twitter
Gorebyss,False,False,Low,Small,False,Pixiv
Grotle,True,False,High,Small,True,Pixiv
Eevee,False,False,Low,Small,True,Twitter
Camerupt,False,False,High,Large,False,Twitter
Probopass,False,False,Low,Large,True,Pixiv
Crabrawler,False,False,Low,Small,True,Pixiv
Rufflet,False,False,Low,Large,True,Pixiv
Emolga,True,False,Low,Small,True,Pixiv
Incineroar,False,True,Low,Small,False,Twitter
Smoochum,False,False,Low,Large,False,Pixiv
Scizor,False,False,High,Large,True,Pixiv
Fennekin,False,False,Low,Small,False,Pixiv
Quagsire,False,False,High,Small,True,Pixiv
Combee,False,False,Low,Large,True,Twitter
Petilil,False,True,Low,Large,True,Twitter
Mudbray,False,False,High,Large,False,Pixiv
Donphan,False,False,High,Small,False,Pixiv
Rattata,False,False,High,Large,False,Pixiv
Carracosta,False,False,Low,Large,True,Pixiv
Aggron,False,False,High,Small,False,Twitter
Buizel,True,False,High,Large,True,Pixiv
Tentacruel,False,False,High,Large,False,Pixiv
Butterfree,False,False,Low,Large,False,Pixiv
Mandibuzz,True,True,High,Small,False,Pixiv
Swoobat,False,True,Low,Small,True,Pixiv
Cradily,False,True,High,Large,True,Pixiv
Cubone,False,False,Low,Small,False,Pixiv
Murkrow,False,False,Low,Large,False,Pixiv
Armaldo,False,False,Low,Large,False,Pixiv
Giratina,True,False,Low,Small,False,Pixiv
Excadrill,False,False,High,Large,True,Pixiv
Slakoth,False,False,High,Small,False,Pixiv
Crawdaunt,False,False,Low,Small,False,Twitter
Vulpix,True,False,High,Large,True,Pixiv
Bellossom,False,False,Low,Small,False,Twitter
Snorunt,False,False,Low,Small,True,Pixiv
Kricketot,False,False,Low,Large,False,Pixiv
Exeggcute,False,False,High,Large,True,Twitter
Cryogonal,False,True,High,Small,False,Pixiv
Ralts,False,False,Low,Small,True,Pixiv
Talonflame,False,False,Low,Small,False,Twitter
Milotic,False,True,High,Large,False,Twitter
Victreebel,False,False,Low,Small,False,Twitter
Torchic,False,False,High,Small,False,Pixiv
Swadloon,False,True,High,Small,True,Pixiv
Machoke,False,False,Low,Large,False,Pixiv
Fomantis,False,False,High,Small,False,Pixiv
Mew,True,False,High,Small,True,Pixiv
Graveler,False,False,Low,Large,True,Pixiv
Dewgong,False,False,High,Small,True,Twitter
Spinarak,False,True,Low,Large,False,Pixiv
Helioptile,False,False,Low,Small,False,Twitter
Stantler,False,False,High,Small,False,Pixiv
Accelgor,False,False,High,Large,False,Twitter
Beartic,False,False,High,Large,False,Pixiv
Seismitoad,False,False,Low,Large,False,Twitter
Crobat,False,False,High,Large,False,Pixiv
Torterra,False,True,High,Small,True,Twitter
Weezing,False,False,Low,Small,False,Twitter
Bagon,False,False,High,Small,False,Twitter
Krokorok,False,False,Low,Small,True,Twitter
Simisear,False,True,High,Small,False,Pixiv
Pansear,False,False,Low,Large,True,Twitter
Poliwrath,False,False,High,Large,False,Pixiv
Golett,False,False,Low,Small,False,Twitter
Sigilyph,True,False,Low,Small,False,Pixiv
Pidove,False,False,High,Large,True,Twitter
Carnivine,False,True,High,Large,False,Pixiv
Corphish,False,True,High,Small,True,Pixiv
Keldeo,False,True,Low,Large,False,Pixiv
Pinsir,False,False,Low,Large,True,Pixiv
Panpour,False,False,High,Small,False,Pixiv
Igglybuff,False,True,High,Large,False,Twitter
Luxio,False,False,Low,Small,False,Pixiv
Alakazam,False,False,Low,Large,True,Twitter
Squirtle,True,False,High,Small,True,Pixiv
Camerupt,False,True,Low,Small,True,Pixiv
Tapu Lele,False,False,Low,Large,True,Pixiv
Rampardos,False,False,High,Small,True,Twitter
Passimian,False,False,Low,Small,False,Pixiv
Mesprit,False,False,High,Small,True,Pixiv
Nihilego,False,False,Low,Large,False,Twitter
Feebas,False,False,Low,Small,False,Pixiv
Igglybuff,False,False,High,Large,False,Pixiv
Shinx,False,False,Low,Small,False,Pixiv
Galvantula,False,False,Low,Small,False,Pixiv
Vikavolt,False,False,High,Large,True,Pixiv
Dragalge,True,False,Low,Large,False,Twitter
Palossand,False,False,Low,Large,True,Pixiv
Honedge,False,False,High,Small,False,Pixiv
Carvanha,False,False,High,Large,False,Twitter
Volcanion,False,False,Low,Large,False,Twitter
Rotom,False,False,High,Large,True,Pixiv
Ekans,False,False,Low,Small,True,Pixiv
Kakuna,False,False,Low,Small,False,Pixiv
Tangrowth,True,False,High,Large,False,Pixiv
Dartrix,False,False,Low,Large,True,Twitter
Mew,True,False,High,Large,True,Pixiv
Archen,False,False,High,Small,False,Pixiv
Treecko,False,False,High,Large,False,Pixiv
Hitmontop,False,False,Low,Small,True,Pixiv
Delcatty,False,False,High,Small,True,Twitter
Watchog,False,False,High,Small,False,Pixiv
Heatmor,False,False,Low,Large,False,Twitter
Charmander,True,False,Low,Large,False,Pixiv
Mew,True,False,Low,Small,False,Twitter
Luvdisc,False,False,Low,Small,False,Pixiv
Sewaddle,False,True,High,Large,False,Pixiv
Dunsparce,False,False,Low,Small,True,Pixiv
Sentret,False,False,Low,Large,False,Twitter
Sylveon,True,False,Low,Small,False,Twitter
Petilil,False,False,High,Small,False,Twitter
Azurill,False,False,High,Large,False,Pixiv
Abomasnow,False,False,Low,Small,True,Twitter
Machop,False,False,Low,Large,False,Pixiv
Corphish,False,False,Low,Small,True,Pixiv
Nosepass,False,False,High,Small,False,Pixiv
Vulpix,True,False,High,Small,True,Pixiv
Chespin,False,False,Low,Large,True,Pixiv
Emboar,False,True,Low,Small,False,Twitter
Vulpix,True,False,High,Small,False,Pixiv
Diggersby,False,False,High,Small,False,Pixiv
Patrat,False,False,High,Large,False,Pixiv
Leavanny,False,False,High,Large,False,Twitter
Oddish,False,False,High,Small,True,Twitter
Wailmer,False,True,High,Small,True,Twitter
Shuckle,False,False,High,Small,False,Twitter
Gurdurr,False,False,High,Small,True,Pixiv
Wartortle,False,False,High,Small,False,Pixiv
Pikipek,False,True,High,Small,True,Pixiv
Bellsprout,False,True,High,Large,False,Pixiv
Shinx,False,False,High,Large,False,Pixiv
Bastiodon,False,False,High,Large,True,Pixiv
Pheromosa,False,False,High,Large,False,Twitter
Crabrawler,False,False,Low,Large,False,Pixiv
Pachirisu,False,False,Low,Small,False,Pixiv
Swalot,False,False,Low,Large,False,Twitter
Honedge,False,False,Low,Small,False,Pixiv
Gardevoir,False,False,Low,Small,False,Twitter
Cleffa,False,False,Low,Large,True,Twitter
Ludicolo,True,False,Low,Small,True,Pixiv
Pumpkaboo,False,False,Low,Small,True,Pixiv
Celesteela,False,False,Low,Large,False,Pixiv
Pineco,False,False,Low,Large,True,Pixiv
Nidoking,False,False,Low,Small,False,Pixiv
Foongus,False,False,Low,Large,True,Pixiv
Hippowdon,False,False,High,Large,False,Pixiv
Glaceon,False,False,High,Small,False,Twitter
Pineco,False,True,Low,Large,False,Pixiv
Wailmer,False,False,Low,Small,False,Pixiv
Klinklang,True,False,Low,Small,True,Twitter
Grimer,False,True,Low,Large,True,Pixiv
Stufful,False,False,Low,Large,True,Pixiv
Clauncher,False,False,Low,Small,True,Pixiv
Altaria,False,False,Low,Small,False,Pixiv
Mew,True,True,Low,Large,False,Pixiv
Audino,False,False,Low,Small,True,Pixiv
Teddiursa,False,False,Low,Large,True,Twitter
Tentacool,False,False,Low,Small,False,Twitter
Glameow,False,True,Low,Large,True,Pixiv
Reshiram,False,False,Low,Large,False,Pixiv
Mismagius,False,False,Low,Small,True,Pixiv
Jirachi,False,False,High,Small,False,Twitter
Simisage,False,False,Low,Large,False,Pixiv
Heatran,False,False,Low,Small,True,Pixiv
Larvitar,False,False,Low,Large,True,Twitter
Vullaby,False,False,Low,Large,False,Twitter
Vulpix,True,False,Low,Small,True,Pixiv
Abomasnow,False,False,High,Large,False,Pixiv
Stoutland,False,False,High,Large,False,Pixiv
Piplup,True,False,Low,Large,True,Pixiv
Hoopa,False,False,Low,Small,True,Twitter
Sneasel,False,False,Low,Large,True,Twitter
Gothitelle,True,False,High,Large,True,Pixiv
Mew,False,False,Low,Large,False,Twitter
Shellder,False,False,Low,Large,False,Pixiv
Cloyster,False,False,High,Large,True,Pixiv
Thundurus,False,False,High,Large,False,Twitter
Weedle,False,False,Low,Large,True,Pixiv
Gengar,False,True,High,Small,True,Twitter
Glaceon,False,False,High,Large,False,Pixiv
Keldeo,False,True,High,Small,False,Twitter
Shaymin,False,False,Low,Small,False,Pixiv
Drowzee,False,False,Low,Small,False,Twitter
Infernape,False,False,High,Small,False,Pixiv
Mandibuzz,False,False,Low,Small,False,Pixiv
Cryogonal,False,False,Low,Small,False,Pixiv
Cubone,False,False,Low,Small,False,Twitter
Snorlax,False,False,High,Small,True,Pixiv
Ursaring,False,True,Low,Small,True,Twitter
Chimecho,False,False,Low,Small,False,Pixiv
Petilil,False,False,High,Small,False,Pixiv
Lopunny,False,True,High,Small,True,Pixiv
Metagross,False,False,High,Small,True,Twitter
Dewpider,False,False,High,Small,True,Pixiv
Vigoroth,False,False,High,Large,True,Pixiv
Tsareena,False,False,High,Small,False,Pixiv
Donphan,False,False,Low,Large,True,Pixiv
Grumpig,False,False,High,Large,False,Pixiv
Kabuto,False,False,Low,Large,True,Pixiv
Tirtouga,False,False,Low,Small,True,Twitter
Fearow,False,True,High,Large,True,Pixiv
Mankey,False,False,High,Small,True,Twitter
Turtwig,False,False,Low,Large,False,Twitter
Luvdisc,False,False,Low,Large,False,Pixiv
Squirtle,True,False,High,Large,True,Pixiv
Gourgeist,False,True,Low,Large,False,Twitter
Feraligatr,False,False,Low,Large,False,Pixiv
Primarina,False,False,High,Large,True,Pixiv
Leafeon,False,False,High,Large,False,Twitter
Gloom,False,True,Low,Small,True,Pixiv
Celebi,False,False,High,Small,False,Twitter
Metang,False,False,Low,Large,False,Twitter
Lampent,False,False,High,Large,False,Twitter
Patrat,True,False,High,Small,True,Twitter
Raikou,False,False,High,Large,False,Twitter
Ekans,False,False,Low,Large,False,Pixiv
Poochyena,False,False,Low,Small,True,Twitter
Minior,False,False,Low,Small,False,Twitter
Mew,True,False,Low,Small,True,Pixiv
Palkia,False,False,High,Large,True,Pixiv
Bastiodon,False,True,Low,Large,False,Twitter
Tapu Lele,False,False,High,Small,True,Twitter
Oshawott,False,False,Low,Small,True,Pixiv
Sneasel,False,False,High,Small,True,Twitter
Caterpie,False,False,High,Small,False,Pixiv
Metapod,False,False,Low,Small,False,Pixiv
Dragalge,False,False,High,Small,True,Twitter
Flygon,False,False,Low,Small,False,Twitter
Thundurus,False,False,Low,Small,False,Pixiv
Bellossom,False,False,High,Large,True,Pixiv
Blitzle,True,False,High,Small,False,Pixiv
Taillow,False,False,Low,Small,True,Pixiv
Bruxish,False,False,Low,Large,True,Pixiv
Slurpuff,False,False,Low,Large,False,Pixiv
Hoothoot,False,True,High,Small,False,Twitter
Celesteela,False,False,Low,Large,False,Twitter
Clefable,False,True,Low,Large,False,Twitter
Drilbur,False,True,Low,Large,False,Pixiv
Cyndaquil,False,False,High,Small,True,Pixiv
Makuhita,False,True,Low,Small,True,Pixiv
