pokemon_names,raw_rankings,poke_tiers,famous_artist,photo_brightness_level,photo_depth_of_field ,is_pokemon_larger_than_a_burrito,cute_classification_conv_net_feature_14,cute_classification_conv_net_feature_26,photo_night_or_day
Golbat ,3.0498957214416285,A,true,high,high,true,zero,non-zero,day
Persian ,1.8773083163600306,B,false,low,low,true,zero,non-zero,night
Ponyta ,2.3085432085793394,B,false,low,high,true,non-zero,non-zero,day
Seadra ,3.796966358892416,S,true,low,low,true,non-zero,zero,day
Rhydon ,3.507517686198045,S,true,high,low,true,non-zero,zero,day
Mewtwo ,2.6761077588333957,A,false,low,high,true,non-zero,non-zero,day
Doduo ,3.126818138290499,A,false,low,low,true,zero,non-zero,night
Cubone ,4.5,S,false,high,low,true,non-zero,non-zero,day
Omastar ,3.7758043726006223,S,false,low,high,true,zero,zero,day
Hypno ,1.3717274191024054,C,false,high,low,true,zero,non-zero,night
Kingler ,4.117609816268892,S,false,low,high,true,zero,zero,night
Arbok ,1.3586467000823108,C,false,low,low,true,zero,non-zero,night
Abra ,4.5,S,true,low,high,true,zero,zero,day
Ninetales ,3.886969642464931,S,false,low,low,true,zero,zero,day
Ekans ,3.4070959820835243,A,false,low,low,true,zero,zero,night
Meowth ,2.114358962101604,B,false,low,high,true,non-zero,non-zero,day
Spearow ,3.0863897358102323,A,true,high,high,true,non-zero,non-zero,day
Weepinbell ,1.3313220599399604,C,false,low,low,true,non-zero,non-zero,day
Nidoran♀ ,3.3544783074625792,A,true,high,low,true,zero,non-zero,day
Gengar ,3.402163345170761,A,true,high,low,true,non-zero,non-zero,night
Tentacool ,4.2314528678688,S,true,high,high,true,zero,non-zero,night
Paras ,2.9925510345774713,A,false,low,high,true,non-zero,zero,day
Ekans ,2.8659063724532956,A,true,high,high,true,non-zero,zero,day
Tauros ,2.3649079778252515,B,false,low,low,true,non-zero,non-zero,day
Exeggutor ,1.4423541893820928,C,false,high,low,true,zero,non-zero,day
Mewtwo ,4.5,S,true,high,low,true,zero,non-zero,night
Articuno ,0.5,C,false,high,low,true,non-zero,non-zero,night
Poliwrath ,3.97524721441468,S,false,low,low,true,non-zero,zero,night
Aerodactyl ,2.619673377541369,A,true,high,high,true,zero,non-zero,day
Tauros ,2.8037408112016124,A,true,high,high,true,non-zero,zero,day
Raticate ,4.5,S,false,high,high,true,zero,zero,night
Machop ,4.459224589934651,S,false,low,high,true,zero,zero,night
Ponyta ,3.165038969012569,A,false,high,low,true,non-zero,zero,day
Onix ,1.2526666796167636,C,false,high,low,true,non-zero,zero,night
Nidorina ,2.6252565786690845,A,false,low,high,true,zero,zero,day
Ponyta ,3.1363410236246496,A,false,high,low,true,non-zero,non-zero,day
Magikarp ,3.695916019746413,S,false,low,high,true,zero,non-zero,day
Gastly ,2.138767802875077,B,true,high,low,true,non-zero,zero,night
Weezing ,1.6146528872718278,B,true,high,low,true,zero,non-zero,night
Dewgong ,1.4875555601294919,C,false,low,high,true,zero,non-zero,night
Wartortle ,2.3773404335774493,B,true,high,low,true,zero,non-zero,night
Nidoking ,2.441075430357635,B,true,low,high,true,zero,non-zero,day
Squirtle ,4.180651635268609,S,false,low,high,true,non-zero,zero,day
Onix ,0.5,C,false,high,high,true,non-zero,non-zero,night
Diglett ,1.2285257444590767,C,false,high,high,False,non-zero,non-zero,night
Pinsir ,2.657046035571879,A,false,high,high,true,zero,zero,night
Dugtrio ,3.352278527240803,A,false,low,high,true,zero,non-zero,night
Pidgeotto ,4.5,S,false,low,low,true,zero,zero,night
Gastly ,3.1286434634033853,A,true,high,low,true,non-zero,non-zero,day
Porygon ,2.686473003162003,A,true,high,high,true,non-zero,zero,night
Omastar ,3.834695117617442,S,false,low,high,true,zero,non-zero,day
Wartortle ,4.5,S,false,low,high,true,non-zero,zero,day
Tentacool ,2.9401899724518086,A,false,high,low,true,non-zero,zero,day
Golbat ,1.9471600682820347,B,true,high,high,true,non-zero,non-zero,night
Koffing ,1.2099754675551855,C,false,low,high,true,non-zero,non-zero,day
Fearow ,2.2666075672519463,B,false,high,high,true,non-zero,non-zero,night
Machamp ,4.47459455333621,S,false,high,high,true,zero,zero,day
Rhydon ,4.5,S,true,low,high,true,non-zero,non-zero,day
Kingler ,3.604925645100902,S,false,low,low,true,zero,zero,day
Kangaskhan ,3.325761509961162,A,false,high,high,true,non-zero,non-zero,day
Weedle ,3.212321708422243,A,false,low,low,true,zero,non-zero,day
Mew ,3.0896608682682634,A,false,high,low,true,zero,non-zero,day
Poliwhirl ,4.220314198170892,S,false,low,low,true,zero,zero,day
Growlithe ,4.5,S,true,low,low,true,non-zero,zero,day
Spearow ,2.748777310084768,A,false,low,high,true,zero,non-zero,day
Wartortle ,2.410644918998548,B,false,low,low,true,zero,non-zero,day
Onix ,1.586600804883391,B,false,high,high,true,zero,non-zero,day
Diglett ,3.222016430904602,A,true,low,low,False,zero,zero,night
Wartortle ,0.8995261735023723,C,false,high,low,true,non-zero,non-zero,night
Metapod ,0.9003392831472654,C,false,low,high,true,non-zero,non-zero,night
Electrode ,3.4190027533096727,A,true,low,high,true,zero,non-zero,night
Lickitung ,1.9736803565193772,B,false,low,high,true,non-zero,non-zero,night
Nidorino ,1.8055023351058965,B,false,high,high,true,non-zero,non-zero,day
Hitmonchan ,2.3458288729120027,B,false,high,low,true,non-zero,zero,day
Raticate ,1.4411850140632791,C,true,high,low,true,zero,non-zero,day
Golbat ,1.2326719100374715,C,false,high,low,true,non-zero,non-zero,day
Hitmonlee ,3.7288319994701946,S,false,high,low,true,zero,non-zero,day
Golbat ,3.391873750140354,A,false,low,low,true,zero,zero,night
Marowak ,3.6204359511808897,S,false,high,high,true,non-zero,non-zero,night
Golbat ,4.5,S,false,low,high,true,non-zero,non-zero,night
Machamp ,4.5,S,true,high,low,true,zero,zero,night
Golbat ,2.6074406512653434,A,false,low,low,true,non-zero,non-zero,day
Grimer ,2.0502051239557844,B,true,high,low,true,non-zero,zero,day
Gengar ,2.9177280497530247,A,true,low,low,true,zero,non-zero,night
Pikachu ,1.5565247153475463,B,false,low,high,true,non-zero,non-zero,day
Raichu ,2.7274841669655085,A,false,low,low,true,non-zero,non-zero,night
Dugtrio ,0.9552955370263949,C,false,low,low,true,non-zero,non-zero,night
Exeggcute ,2.7826723972761083,A,true,high,low,true,zero,zero,day
Golduck ,4.5,S,true,low,low,true,non-zero,non-zero,night
Mewtwo ,3.621830220021586,S,false,low,low,true,zero,non-zero,day
Oddish ,3.174111041493432,A,false,low,low,true,non-zero,non-zero,night
Pidgey ,2.682178706593795,A,true,high,high,true,non-zero,zero,day
Pinsir ,1.4225709369016462,C,false,low,low,true,non-zero,zero,day
Articuno ,4.357328757861064,S,false,low,high,true,non-zero,non-zero,day
Omastar ,0.5753535869530686,C,false,low,high,true,zero,non-zero,day
Dewgong ,3.884732450086438,S,true,low,low,true,zero,non-zero,day
Haunter ,2.444070913612749,B,true,low,high,true,non-zero,non-zero,night
Nidorino ,2.5388699789139033,A,true,high,low,true,zero,non-zero,day
Nidorino ,1.1843466744459563,C,false,high,low,true,zero,non-zero,day
Dugtrio ,3.1005483579681035,A,true,high,high,true,non-zero,zero,night
Moltres ,4.5,S,false,low,high,true,zero,non-zero,night
Weedle ,2.7786005371440368,A,false,high,low,true,zero,non-zero,night
Gengar ,3.4537550117078046,A,false,low,high,true,zero,non-zero,night
Zubat ,1.8993986441102202,B,false,high,high,true,non-zero,non-zero,night
Omanyte ,4.303016861081206,S,false,low,low,true,non-zero,zero,night
Haunter ,1.0681011082637835,C,false,low,high,true,zero,non-zero,night
Cloyster ,4.1823926171854895,S,false,high,high,true,zero,zero,night
Doduo ,2.7550924668530663,A,true,low,high,true,non-zero,non-zero,day
Parasect ,3.0815655685351513,A,true,high,low,true,non-zero,zero,night
Ivysaur ,3.163027832737957,A,true,high,high,true,zero,zero,day
Spearow ,2.6641463703295956,A,false,high,low,true,zero,non-zero,night
Caterpie ,2.194802213465571,B,true,high,high,true,zero,non-zero,day
Dodrio ,2.8422310568096107,A,true,high,high,true,zero,zero,night
Zubat ,2.0336025166120897,B,false,high,high,true,non-zero,non-zero,day
Diglett ,2.221805418840567,B,false,high,high,False,zero,non-zero,night
Hypno ,3.1520637351160916,A,false,high,high,true,non-zero,non-zero,day
Ponyta ,3.129428135581416,A,false,high,high,true,non-zero,non-zero,day
Aerodactyl ,3.5092523290018316,S,false,low,low,true,non-zero,zero,night
Arcanine ,4.5,S,true,low,high,true,non-zero,zero,night
Pinsir ,3.4547776173916693,A,false,high,low,true,non-zero,zero,night
Raichu ,0.590511073538766,C,false,low,high,true,non-zero,non-zero,day
Primeape ,2.00009014444712,B,false,high,low,true,zero,non-zero,night
Zubat ,2.278172818184083,B,true,high,low,true,zero,non-zero,night
Diglett ,1.6827691155232598,B,true,high,high,False,non-zero,non-zero,night
Zapdos ,2.975113848136722,A,true,low,high,true,non-zero,zero,night
Paras ,2.1842195456819455,B,true,high,low,true,non-zero,non-zero,night
Farfetch'd ,1.787322866268026,B,true,low,low,true,non-zero,zero,night
Onix ,2.10266242434307,B,false,high,high,true,non-zero,zero,night
Golbat ,2.809345544035243,A,true,low,low,true,zero,non-zero,night
Fearow ,4.5,S,false,high,high,true,zero,zero,day
Jynx ,3.8043787411517993,S,false,high,high,true,zero,non-zero,night
Pidgey ,3.1767195104680854,A,true,high,low,true,zero,non-zero,night
Haunter ,3.0018952507023253,A,false,low,high,true,zero,zero,night
Haunter ,2.6575063616012207,A,true,high,high,true,non-zero,zero,day
Gastly ,2.6625305021766748,A,true,high,high,true,non-zero,zero,night
Raichu ,2.9107152828158713,A,true,high,high,true,zero,zero,day
Diglett ,3.779209040304655,S,true,low,low,False,zero,non-zero,night
Zubat ,2.7357712851397586,A,false,low,high,true,non-zero,non-zero,night
Charizard ,1.9256950988645536,B,true,low,low,true,zero,non-zero,night
Raticate ,3.470233237319645,A,false,low,low,true,zero,zero,night
Onix ,1.5909280811562572,B,true,high,low,true,zero,zero,night
Bellsprout ,2.3746676203854444,B,false,high,low,true,non-zero,non-zero,day
Golbat ,0.5,C,false,low,high,true,zero,non-zero,night
Machamp ,3.581242808821647,S,true,low,low,true,zero,non-zero,day
Gengar ,1.8583736367244785,B,false,low,high,true,zero,non-zero,night
Nidoran♂ ,2.902944142250364,A,true,high,high,true,zero,zero,day
Ditto ,1.6040075057683179,B,false,high,low,true,zero,non-zero,night
Magnemite ,4.0876599526679245,S,true,high,high,true,zero,zero,day
Eevee ,2.1410764030447975,B,true,high,low,true,zero,non-zero,night
Vaporeon ,3.8043211076319814,S,true,low,high,true,zero,non-zero,day
Arcanine ,2.4187883333083118,B,false,high,high,true,non-zero,non-zero,day
Dratini ,4.420238158092283,S,true,low,high,true,non-zero,zero,night
Vaporeon ,3.69413651885764,S,false,high,high,true,non-zero,zero,night
Omastar ,4.5,S,false,low,low,true,zero,non-zero,day
Fearow ,0.9351034928795157,C,false,high,low,true,non-zero,non-zero,night
Electrode ,4.5,S,true,high,high,true,zero,zero,day
Grimer ,3.7641208264853345,S,true,low,high,true,zero,zero,night
Gastly ,2.011861398386438,B,false,low,high,true,non-zero,non-zero,day
Rapidash ,2.386499380736746,B,false,high,high,true,non-zero,non-zero,day
Rattata ,3.371641685556765,A,false,low,high,true,zero,zero,day
Venusaur ,3.1997385028214222,A,true,low,low,true,zero,zero,day
Haunter ,2.681082743790629,A,false,low,low,true,non-zero,zero,day
Onix ,1.8800306957886326,B,true,high,high,true,zero,non-zero,day
Dugtrio ,1.1046775289643094,C,false,high,low,true,zero,zero,night
Fearow ,1.7394223262328155,B,true,low,low,true,zero,non-zero,day
Onix ,2.018757006842538,B,false,high,high,true,non-zero,non-zero,day
Paras ,2.633786970279113,A,false,low,low,true,zero,zero,night
Electabuzz ,2.3121259047343203,B,false,high,high,true,non-zero,non-zero,day
Clefairy ,4.387474366814614,S,true,low,high,true,zero,non-zero,day
Nidoran♂ ,2.9894926404998805,A,true,high,low,true,zero,zero,night
Haunter ,2.009086604574026,B,true,high,high,true,non-zero,zero,day
Cloyster ,0.5596821227210356,C,false,low,high,true,non-zero,non-zero,night
Golem ,4.5,S,true,high,high,true,zero,non-zero,day
Voltorb ,3.4121653692089313,A,true,high,high,true,non-zero,non-zero,day
Rhyhorn ,1.413572549704,C,false,high,high,true,non-zero,non-zero,day
Clefable ,3.7127808629329313,S,false,high,high,true,zero,non-zero,day
Charmeleon ,3.5439859189752614,S,false,low,low,true,non-zero,non-zero,night
Zapdos ,3.79115623299311,S,false,low,low,true,zero,non-zero,night
Golbat ,2.8724128905945387,A,false,high,low,true,non-zero,non-zero,night
Butterfree ,3.1841730445120295,A,true,high,low,true,non-zero,zero,day
Nidoqueen ,3.0970571961522895,A,false,high,high,true,non-zero,non-zero,day
Graveler ,4.5,S,true,low,low,true,zero,non-zero,night
Raichu ,1.869497254165746,B,true,low,low,true,non-zero,non-zero,night
Rattata ,2.5999878351167105,A,false,low,high,true,zero,zero,night
Krabby ,4.5,S,false,low,low,true,zero,non-zero,night
Diglett ,2.3445994857467807,B,false,high,high,False,zero,non-zero,night
Magikarp ,2.390336414699339,B,true,low,low,true,non-zero,non-zero,day
Golduck ,4.069555737626067,S,false,low,low,true,zero,non-zero,night
Vaporeon ,4.5,S,false,low,high,true,zero,non-zero,day
Dugtrio ,2.8363717594497837,A,false,low,high,true,zero,zero,day
Gastly ,2.6564204573663237,A,false,low,low,true,zero,zero,day
Wartortle ,4.5,S,false,low,high,true,zero,non-zero,day
Dodrio ,2.1653822226615493,B,false,high,low,true,non-zero,non-zero,day
Kangaskhan ,3.3727612808187226,A,false,high,high,true,non-zero,zero,day
Aerodactyl ,3.9508985484245134,S,true,high,high,true,non-zero,zero,night
Mew ,2.4083579750694755,B,true,high,high,true,non-zero,non-zero,night
Butterfree ,1.6233692054828979,B,false,high,high,true,zero,non-zero,day
Lickitung ,0.88210712925479,C,false,high,high,true,zero,non-zero,night
Scyther ,4.232482860622715,S,true,low,high,true,zero,zero,day
Zubat ,1.615958885182736,B,false,low,high,true,zero,non-zero,night
Tauros ,1.8952211957940375,B,false,high,low,true,non-zero,non-zero,night
Seel ,4.5,S,false,high,low,true,zero,non-zero,night
Dodrio ,2.2310152850713196,B,false,high,low,true,zero,non-zero,night
Kangaskhan ,1.6050050806933158,B,false,low,low,true,non-zero,zero,night
Porygon ,2.964819611280079,A,true,low,low,true,non-zero,zero,night
Charmander ,4.5,S,true,low,low,true,non-zero,non-zero,night
Dragonair ,4.119603181466568,S,true,low,low,true,zero,zero,night
Cloyster ,2.5199005543030997,A,false,high,high,true,zero,non-zero,day
Tentacruel ,3.73010943636324,S,true,high,high,true,zero,non-zero,night
Krabby ,4.176577414875455,S,false,high,low,true,non-zero,non-zero,night
Haunter ,2.2851556812941873,B,false,low,low,true,zero,non-zero,night
Nidoran♀ ,4.5,S,false,low,low,true,non-zero,zero,night
Raichu ,2.6414708048932107,A,false,high,high,true,zero,non-zero,day
Golbat ,0.5,C,false,high,low,true,non-zero,non-zero,day
Jolteon ,1.5101336204224916,B,true,low,low,true,zero,non-zero,night
Mankey ,4.105828544710557,S,false,high,low,true,zero,non-zero,day
Drowzee ,1.2312309231084497,C,false,high,low,true,non-zero,non-zero,day
Pidgey ,2.153267001561021,B,false,low,high,true,non-zero,non-zero,day
Nidoran♀ ,1.8205507745760763,B,false,low,low,true,zero,non-zero,night
Onix ,1.5362514383447345,B,false,high,high,true,non-zero,non-zero,day
Golbat ,2.9176195680438988,A,false,high,high,true,non-zero,non-zero,night
Kangaskhan ,3.418483433080128,A,true,low,low,true,zero,non-zero,day
Blastoise ,4.432473618425657,S,false,high,high,true,non-zero,zero,night
Dratini ,4.170362876595079,S,true,high,low,true,zero,non-zero,day
Gastly ,3.4638095219102345,A,true,high,high,true,non-zero,zero,night
Raichu ,3.425650671673986,A,false,low,high,true,non-zero,non-zero,night
Golbat ,2.6110447453575247,A,false,low,high,true,zero,non-zero,day
Clefable ,0.9924963980198451,C,false,low,low,true,non-zero,zero,day
Nidoran♂ ,3.680190590997644,S,false,high,high,true,non-zero,non-zero,day
Zubat ,2.77449992059657,A,false,low,low,true,zero,zero,day
Bulbasaur ,2.5419784073814515,A,true,low,high,true,zero,zero,night
Graveler ,3.6474407393308925,S,true,high,high,true,non-zero,non-zero,day
Charizard ,4.5,S,true,low,low,true,non-zero,zero,night
Magnemite ,3.819334934240664,S,true,high,low,true,non-zero,non-zero,day
Machamp ,2.721842491929681,A,false,high,low,true,zero,non-zero,day
Dodrio ,2.2043689981751697,B,false,low,high,true,zero,non-zero,day
Pidgeotto ,3.4880558005878086,A,false,low,low,true,zero,non-zero,day
Gengar ,3.181854276910669,A,false,high,low,true,zero,zero,night
Dratini ,4.5,S,false,low,low,true,zero,zero,day
Vulpix ,3.673106375399353,S,true,low,high,true,zero,zero,night
Spearow ,3.102057504523111,A,false,high,high,true,zero,zero,night
Staryu ,4.5,S,true,high,low,true,zero,zero,night
Nidorino ,1.988362043207955,B,false,low,low,true,zero,non-zero,day
Mew ,3.0747111995365914,A,false,low,low,true,non-zero,zero,night
Gengar ,4.268136972135457,S,true,low,high,true,non-zero,zero,day
Magnemite ,3.128204368851972,A,true,high,high,true,zero,non-zero,day
Zapdos ,4.5,S,false,low,low,true,non-zero,zero,day
Nidoking ,1.7779433274357521,B,false,low,high,true,zero,non-zero,night
Zubat ,2.814366265882178,A,false,low,low,true,zero,non-zero,day
Doduo ,4.5,S,false,high,low,true,zero,zero,night
Golbat ,2.8126093107697483,A,false,high,low,true,non-zero,non-zero,night
Machoke ,3.5062167448982837,S,false,high,low,true,zero,zero,day
Golbat ,2.0380309702285535,B,false,low,low,true,zero,non-zero,night
Diglett ,3.028062159298492,A,false,high,low,False,zero,zero,day
Geodude ,3.5180968671182784,S,true,high,low,true,non-zero,non-zero,day
Tangela ,1.2638685570883479,C,false,high,high,true,non-zero,non-zero,day
Cubone ,3.6268859762488903,S,false,low,high,true,non-zero,non-zero,day
Pidgeotto ,4.153506410100561,S,false,high,high,true,non-zero,zero,night
Moltres ,4.062135135204434,S,true,high,low,true,non-zero,non-zero,day
Gastly ,3.444971443239038,A,true,high,high,true,non-zero,zero,night
Rapidash ,2.458523309116843,B,false,high,low,true,non-zero,non-zero,day
Aerodactyl ,4.2713752162081535,S,true,high,high,true,non-zero,zero,night
Magneton ,1.395392861267127,C,false,high,high,true,zero,non-zero,night
Gastly ,3.8379471124312907,S,true,high,low,true,zero,zero,night
Psyduck ,4.5,S,false,low,high,true,non-zero,non-zero,day
Tauros ,3.5350741499770324,S,true,high,high,true,zero,non-zero,day
Golbat ,1.4183153550650967,C,false,low,high,true,zero,non-zero,night
Zubat ,3.0504765576870674,A,false,low,low,true,non-zero,zero,day
Voltorb ,4.5,S,false,low,low,true,non-zero,non-zero,night
Omanyte ,3.805623994521565,S,false,low,high,true,non-zero,non-zero,night
Butterfree ,2.462813729599157,B,false,high,low,true,zero,non-zero,night
Raticate ,4.228733027971144,S,true,low,high,true,zero,zero,night
Seaking ,2.461860366001065,B,false,high,low,true,zero,non-zero,day
Mew ,2.3640828038443127,B,true,low,high,true,non-zero,non-zero,night
Diglett ,3.076099075897432,A,false,high,high,False,zero,zero,day
Golem ,4.452022236305522,S,true,high,high,true,zero,non-zero,day
Magmar ,4.5,S,true,high,low,true,zero,non-zero,night
Gastly ,2.0093674531206034,B,true,low,high,true,zero,non-zero,day
Jynx ,4.333778091464529,S,false,high,high,true,non-zero,zero,night
Parasect ,2.4371523804043727,B,true,high,low,true,zero,non-zero,night
Machamp ,1.6188914827818683,B,false,high,high,true,non-zero,non-zero,day
Gastly ,1.3517514014077747,C,false,high,high,true,non-zero,non-zero,day
Zubat ,1.3044972307732852,C,false,low,high,true,zero,non-zero,day
Rhydon ,2.2649729435508785,B,true,low,low,true,zero,non-zero,day
Zubat ,1.2318161441666382,C,false,high,low,true,zero,non-zero,night
Poliwag ,2.4983592444277494,B,false,low,low,true,zero,zero,day
Dugtrio ,2.1144494931459517,B,false,high,high,true,zero,non-zero,day
Charmander ,4.5,S,true,low,high,true,zero,zero,night
Magneton ,2.6385795426639436,A,false,low,high,true,zero,non-zero,day
Wartortle ,3.221852786945676,A,false,low,high,true,zero,non-zero,night
Golduck ,3.5697107939996284,S,true,high,low,true,zero,non-zero,day
Gloom ,2.286244367192803,B,false,high,low,true,zero,zero,night
Paras ,2.4229220038786123,B,true,low,high,true,non-zero,non-zero,day
Kakuna ,3.909240686182818,S,false,low,high,true,non-zero,non-zero,night
Gengar ,3.121071040985227,A,false,high,low,true,zero,non-zero,day
Eevee ,1.9992467373375127,B,false,high,high,true,non-zero,non-zero,day
Machop ,4.009167151214605,S,true,high,low,true,zero,non-zero,night
Graveler ,3.921089896896759,S,true,high,high,true,non-zero,non-zero,night
Pikachu ,0.5,C,false,low,low,true,zero,non-zero,day
Snorlax ,4.5,S,false,high,high,true,zero,non-zero,day
Gastly ,2.6946038106703716,A,false,high,low,true,non-zero,non-zero,night
Dugtrio ,2.906445717322641,A,false,high,high,true,zero,zero,night
Dugtrio ,3.3104172487660697,A,false,high,high,true,non-zero,zero,day
Nidoran♀ ,3.1656510853931366,A,true,high,high,true,zero,zero,night
Weezing ,2.749310718958559,A,false,high,low,true,non-zero,non-zero,day
Paras ,2.3391498298593962,B,false,low,high,true,zero,non-zero,night
Golbat ,0.5,C,false,high,low,true,zero,non-zero,night
Nidoqueen ,0.7739621448849121,C,false,high,high,true,zero,non-zero,night
Hypno ,2.802776551346925,A,true,high,high,true,zero,zero,day
Ekans ,2.748176248253117,A,false,low,low,true,zero,non-zero,night
Charmeleon ,4.5,S,true,low,low,true,non-zero,zero,day
Onix ,1.6669309469173885,B,true,high,low,true,zero,non-zero,night
Krabby ,3.999591357893834,S,true,high,high,true,non-zero,non-zero,day
Venomoth ,1.4053873720404384,C,false,high,low,true,non-zero,non-zero,day
Psyduck ,4.5,S,false,low,high,true,zero,non-zero,day
Golduck ,4.5,S,true,low,low,true,zero,zero,day
Clefable ,2.8513865398486824,A,false,low,low,true,non-zero,zero,day
Diglett ,2.2602588804466417,B,false,high,high,False,non-zero,non-zero,day
Abra ,1.783696235370167,B,false,low,high,true,non-zero,zero,day
Articuno ,4.5,S,false,high,high,true,non-zero,non-zero,night
Raichu ,4.5,S,false,high,high,true,zero,zero,day
Cubone ,2.611126735297034,A,false,high,low,true,zero,zero,night
Mankey ,0.5,C,false,low,low,true,zero,non-zero,day
Voltorb ,3.4949503163549522,A,false,high,low,true,non-zero,non-zero,night
Electrode ,2.986410649754766,A,true,low,high,true,zero,zero,day
Magneton ,0.7554006156199358,C,false,low,low,true,non-zero,non-zero,night
Electrode ,4.05382582302458,S,false,high,high,true,non-zero,zero,night
Golbat ,0.5,C,false,high,low,true,zero,non-zero,day
Kabutops ,3.8039221151275093,S,true,low,high,true,zero,non-zero,day
Nidoqueen ,3.487572356650537,A,false,low,high,true,zero,non-zero,day
Pidgeot ,1.80290505061133,B,true,low,low,true,zero,zero,night
Nidorino ,2.4679406366390086,B,false,low,low,true,non-zero,non-zero,day
Marowak ,3.9813676859674354,S,false,low,low,true,non-zero,non-zero,night
Kabutops ,3.5567228096109504,S,false,high,low,true,zero,non-zero,day
Aerodactyl ,3.531789873812958,S,false,high,high,true,non-zero,non-zero,night
Ivysaur ,2.3356727350089925,B,false,high,high,true,zero,zero,day
Nidorino ,2.81133994164771,A,false,low,high,true,non-zero,non-zero,night
Nidorina ,2.4033648246075145,B,false,low,low,true,non-zero,zero,night
Persian ,1.9677359160606362,B,false,high,low,true,non-zero,non-zero,day
Muk ,0.5,C,false,low,high,true,zero,zero,night
Seaking ,1.66736671850506,B,false,high,low,true,non-zero,zero,day
Seaking ,3.2632973968385746,A,false,high,low,true,non-zero,zero,day
Horsea ,3.804729677523503,S,true,low,low,true,zero,non-zero,day
Arbok ,3.4216120755051667,A,true,low,low,true,zero,zero,day
Nidoqueen ,3.051697499907782,A,false,low,high,true,non-zero,zero,day
Seadra ,4.5,S,true,high,high,true,zero,non-zero,night
Machoke ,4.5,S,true,low,high,true,zero,zero,night
Fearow ,1.9969330900864055,B,true,high,low,true,zero,non-zero,night
Snorlax ,3.8936233819034722,S,false,low,low,true,non-zero,zero,night
Rhydon ,4.5,S,true,low,high,true,zero,non-zero,day
Weezing ,1.5289354955064425,B,false,low,low,true,zero,non-zero,day
Zubat ,2.952479961057421,A,false,high,high,true,non-zero,non-zero,day
Diglett ,3.0073063136288174,A,false,low,high,False,non-zero,non-zero,night
Kabutops ,4.5,S,false,high,high,true,non-zero,zero,night
Staryu ,2.4912503513595423,B,false,high,high,true,zero,zero,night
Diglett ,2.115976791997757,B,false,high,low,False,zero,non-zero,day
Tentacruel ,3.567741567388409,S,false,low,high,true,non-zero,zero,day
Grimer ,4.366843481292145,S,false,high,low,true,zero,zero,night
Eevee ,0.7198520756007483,C,false,low,high,true,zero,zero,night
Nidoqueen ,2.9231075552002475,A,false,low,low,true,zero,non-zero,night
Lickitung ,0.5,C,false,high,high,true,zero,non-zero,night
Marowak ,4.5,S,false,high,high,true,zero,non-zero,night
Metapod ,3.671903875301387,S,false,low,high,true,non-zero,zero,night
Gengar ,3.3485738178580338,A,true,high,low,true,non-zero,zero,night
Venusaur ,2.306056840637476,B,false,low,low,true,non-zero,non-zero,day
Bulbasaur ,1.3275148798679477,C,false,high,high,true,zero,non-zero,day
Haunter ,2.781593939148267,A,false,high,low,true,zero,zero,night
Poliwhirl ,4.134169768390272,S,false,high,high,true,non-zero,zero,night
Doduo ,0.5,C,false,high,high,true,zero,non-zero,night
Abra ,3.2483188047606424,A,false,low,low,true,zero,zero,day
Zubat ,3.3610117604245273,A,true,low,high,true,non-zero,zero,day
Seadra ,3.6970910176637455,S,false,high,low,true,zero,non-zero,night
Voltorb ,3.1138876697705173,A,false,low,high,true,non-zero,non-zero,night
Dratini ,3.6485206643802908,S,false,low,high,true,zero,zero,night
Magnemite ,3.6655889668496378,S,false,low,high,true,zero,non-zero,day
Vulpix ,3.6047983195844453,S,true,low,low,true,zero,non-zero,day
Nidoqueen ,3.6341797323657357,S,false,low,high,true,zero,zero,night
Charmander ,3.600505090233963,S,false,low,high,true,zero,zero,day
Lapras ,4.5,S,false,low,low,true,zero,non-zero,night
Nidoran♀ ,2.817346642629196,A,true,low,high,true,non-zero,non-zero,night
Dugtrio ,2.1508339147937097,B,false,low,low,true,non-zero,non-zero,night
Drowzee ,2.6653286698910605,A,true,high,low,true,zero,zero,day
Gastly ,1.3931410302998006,C,false,low,low,true,non-zero,non-zero,day
Rapidash ,2.3442466572114897,B,true,high,low,true,zero,zero,day
Mewtwo ,3.081133437591845,A,false,high,low,true,zero,zero,day
Nidoran♂ ,2.2687045788167124,B,false,high,high,true,non-zero,non-zero,day
Dugtrio ,3.2605821528606507,A,false,low,high,true,zero,zero,night
Hitmonlee ,3.992992515970244,S,false,low,high,true,non-zero,zero,day
Ninetales ,3.5355929977466554,S,false,low,high,true,zero,non-zero,night
Magikarp ,4.5,S,true,high,high,true,non-zero,non-zero,day
Jynx ,3.7232803851206104,S,false,low,low,true,zero,zero,day
Onix ,2.447281925686594,B,true,high,high,true,non-zero,non-zero,day
Venusaur ,0.8949018563456232,C,false,low,low,true,non-zero,non-zero,night
Persian ,3.690881003807972,S,true,low,high,true,zero,non-zero,night
Onix ,2.279442692356543,B,true,low,high,true,non-zero,non-zero,night
Geodude ,4.5,S,false,high,high,true,zero,non-zero,day
Ditto ,2.70832736709458,A,true,high,high,true,zero,zero,night
Zubat ,2.9109103592412144,A,false,high,low,true,zero,zero,night
Wartortle ,3.8665733041586554,S,false,high,high,true,non-zero,zero,night
Vulpix ,3.7085007554304568,S,true,high,low,true,non-zero,non-zero,day
